Date,Time,Tank 1 (%),Tank 2 (%),Tank 3 (%),Flow
1/31/2023,8:09:30 AM,34.209774,27.460041,17.770561,48.20039
,,,,,
1/31/2023,8:09:31 AM,34.314678,27.495804,17.792021,48.450733
,,,,,
1/31/2023,8:09:33 AM,34.510185,27.631702,17.830168,49.349583
,,,,,
1/31/2023,8:09:35 AM,34.667545,27.722305,17.846857,49.173153
,,,,,
1/31/2023,8:09:37 AM,34.905968,27.843901,17.913616,49.595158
,,,,,
1/31/2023,8:09:38 AM,34.972725,27.877279,17.918385,49.843117
,,,,,
1/31/2023,8:09:40 AM,35.194458,28.010794,17.994678,49.793049
,,,,,
1/31/2023,8:09:42 AM,35.463875,28.115702,18.049517,50.195988
,,,,,
1/31/2023,8:09:43 AM,35.537785,28.163385,18.06859,50.398643
,,,,,
1/31/2023,8:09:45 AM,35.764286,28.299288,18.11389,50.381954
,,,,,
1/31/2023,8:09:46 AM,35.926414,28.320745,18.140116,50.727665
,,,,,
1/31/2023,8:09:48 AM,36.07185,28.461414,18.19257,51.974613
,,,,,
1/31/2023,8:09:49 AM,36.312656,28.506714,18.223564,52.193962
,,,,,
1/31/2023,8:09:50 AM,36.400875,28.578243,18.254559,51.757645
,,,,,
1/31/2023,8:09:51 AM,36.548695,28.618774,18.285555,51.471542
,,,,,
1/31/2023,8:09:53 AM,36.653603,28.761826,18.333239,51.528763
,,,,,
1/31/2023,8:09:55 AM,36.923019,28.885805,18.414303,53.011749
,,,,,
1/31/2023,8:09:56 AM,37.142368,28.962099,18.440529,52.406155
,,,,,
1/31/2023,8:09:58 AM,37.328335,29.10277,18.50967,52.599274
,,,,,
1/31/2023,8:10:00 AM,37.4547,29.221981,18.571661,54.032196
,,,,,
1/31/2023,8:10:01 AM,37.676434,29.314964,18.595503,53.500515
,,,,,
1/31/2023,8:10:02 AM,37.836174,29.374569,18.640802,53.216789
,,,,,
1/31/2023,8:10:04 AM,38.184273,29.512856,18.693256,54.070343
,,,,,
1/31/2023,8:10:06 AM,38.358318,29.648758,18.760014,54.330223
,,,,,
1/31/2023,8:10:08 AM,38.506142,29.820421,18.826773,54.406517
,,,,,
1/31/2023,8:10:09 AM,38.71357,29.884794,18.860151,55.300598
,,,,,
1/31/2023,8:10:11 AM,38.937687,30.03977,18.936447,55.477036
,,,,,
1/31/2023,8:10:13 AM,39.252403,30.204281,19.027046,55.186157
,,,,,
1/31/2023,8:10:15 AM,39.552814,30.354488,19.091421,55.605782
,,,,,
1/31/2023,8:10:16 AM,39.638649,30.449856,19.1248,55.906193
,,,,,
1/31/2023,8:10:18 AM,39.822231,30.585756,19.220169,55.901424
,,,,,
1/31/2023,8:10:20 AM,40.182251,30.704966,19.301233,56.25906
,,,,,
1/31/2023,8:10:21 AM,40.287155,30.817026,19.334612,56.235218
,,,,,
1/31/2023,8:10:22 AM,40.463589,30.914778,19.387064,56.490334
,,,,,
1/31/2023,8:10:24 AM,40.737774,31.053062,19.472897,57.52985
,,,,,
1/31/2023,8:10:26 AM,40.990501,31.236649,19.54204,57.186527
,,,,,
1/31/2023,8:10:28 AM,41.214619,31.408314,19.646944,57.396336
,,,,,
1/31/2023,8:10:29 AM,41.367207,31.510834,19.682709,58.51215
,,,,,
1/31/2023,8:10:31 AM,41.639011,31.658655,19.78046,59.18689
,,,,,
1/31/2023,8:10:33 AM,41.927502,31.83032,19.868677,57.758736
,,,,,
1/31/2023,8:10:34 AM,42.1087,31.894693,19.930668,58.414394
,,,,,
1/31/2023,8:10:36 AM,42.425804,32.068741,20.023651,59.198807
,,,,,
1/31/2023,8:10:37 AM,42.549782,32.152191,20.076105,58.710037
,,,,,
1/31/2023,8:10:38 AM,42.699989,32.25948,20.123789,57.894634
,,,,,
1/31/2023,8:10:40 AM,43.005169,32.41684,20.228695,59.616043
,,,,,
1/31/2023,8:10:41 AM,43.121994,32.512207,20.27161,60.903526
,,,,,
1/31/2023,8:10:42 AM,43.260281,32.583733,20.338369,60.722328
,,,,,
1/31/2023,8:10:44 AM,43.560692,32.767319,20.438507,58.302338
,,,,,
1/31/2023,8:10:46 AM,43.770504,32.946136,20.555334,60.150112
,,,,,
1/31/2023,8:10:48 AM,44.104294,33.144028,20.643549,59.983219
,,,,,
1/31/2023,8:10:50 AM,44.304569,33.325226,20.767529,59.790092
,,,,,
1/31/2023,8:10:51 AM,44.450008,33.408676,20.831903,61.439972
,,,,,
1/31/2023,8:10:53 AM,44.771877,33.58749,20.943962,61.420898
,,,,,
1/31/2023,8:10:55 AM,45.086594,33.768692,21.067942,60.59119
,,,,,
1/31/2023,8:10:57 AM,45.334553,33.949894,21.163309,61.49004
,,,,,
1/31/2023,8:10:59 AM,45.661194,34.152554,21.287289,62.179081
,,,,,
1/31/2023,8:11:01 AM,45.930611,34.350441,21.401731,61.032272
,,,,,
1/31/2023,8:11:02 AM,45.966373,34.455349,21.463722,61.263542
,,,,,
1/31/2023,8:11:04 AM,46.228638,34.662777,21.568628,62.221996
,,,,,
1/31/2023,8:11:05 AM,46.400303,34.753376,21.659227,62.52718
,,,,,
1/31/2023,8:11:07 AM,46.674488,34.951267,21.754597,62.601089
,,,,,
1/31/2023,8:11:09 AM,47.053577,35.127701,21.892881,62.188618
,,,,,
1/31/2023,8:11:10 AM,47.115566,35.265984,21.945335,62.317364
,,,,,
1/31/2023,8:11:12 AM,47.239548,35.459106,22.081236,62.810905
,,,,,
1/31/2023,8:11:14 AM,47.632942,35.668919,22.188526,63.433189
,,,,,
1/31/2023,8:11:15 AM,47.778381,35.76667,22.250515,63.406956
,,,,,
1/31/2023,8:11:17 AM,47.92382,35.959793,22.400721,61.77615
,,,,,
1/31/2023,8:11:18 AM,48.081177,36.045624,22.45079,61.93351
,,,,,
1/31/2023,8:11:20 AM,48.283836,36.238747,22.600996,63.464184
,,,,,
1/31/2023,8:11:21 AM,48.450733,36.334114,22.665369,63.726444
,,,,,
1/31/2023,8:11:23 AM,48.739223,36.522469,22.796503,63.912411
,,,,,
1/31/2023,8:11:24 AM,48.965725,36.641682,22.832266,64.408333
,,,,,
1/31/2023,8:11:26 AM,49.104008,36.818111,23.003929,64.050697
,,,,,
1/31/2023,8:11:27 AM,49.266136,36.818111,23.003929,64.050697
,,,,,
1/31/2023,8:11:28 AM,49.397266,36.925404,23.063536,64.410713
,,,,,
1/31/2023,8:11:29 AM,49.537937,37.016003,23.113604,65.025841
,,,,,
1/31/2023,8:11:31 AM,49.816891,37.249657,23.273346,64.96624
,,,,,
1/31/2023,8:11:32 AM,49.940872,37.335487,23.318647,65.037766
,,,,,
1/31/2023,8:11:34 AM,50.272282,37.542915,23.466469,64.980545
,,,,,
1/31/2023,8:11:35 AM,50.358112,37.635902,23.53561,64.796959
,,,,,
1/31/2023,8:11:36 AM,50.451096,37.747959,23.597601,64.579994
,,,,,
1/31/2023,8:11:38 AM,50.689518,37.91724,23.764496,64.992462
,,,,,
1/31/2023,8:11:40 AM,50.927944,38.136589,23.869402,65.221352
,,,,,
1/31/2023,8:11:41 AM,51.090069,38.234341,23.957619,65.481232
,,,,,
1/31/2023,8:11:43 AM,51.321335,38.413158,24.081598,65.104523
,,,,,
1/31/2023,8:11:44 AM,51.476311,38.525215,24.141203,64.789803
,,,,,
1/31/2023,8:11:46 AM,51.633667,38.735027,24.296179,65.538452
,,,,,
1/31/2023,8:11:48 AM,51.831554,38.944839,24.434464,65.786407
,,,,,
1/31/2023,8:11:50 AM,52.027065,39.126038,24.565596,65.664818
,,,,,
1/31/2023,8:11:51 AM,52.196346,39.209488,24.653811,66.093979
,,,,,
1/31/2023,8:11:53 AM,52.484833,39.433605,24.796865,66.523132
,,,,,
1/31/2023,8:11:55 AM,52.747101,39.610035,24.920845,65.400169
,,,,,
1/31/2023,8:11:57 AM,52.92115,39.824615,25.111584,66.039139
,,,,,
1/31/2023,8:11:59 AM,53.157188,40.005817,25.264172,66.651886
,,,,,
1/31/2023,8:12:01 AM,53.428989,40.19894,25.390535,65.755417
,,,,,
